sno,origin_lat,origin_lon,destination_lat,destination_lon,routing,distance,time,concentration,exposure,default_smoke,default_time,u_turn_costs,time_factor,pollution_factor,algorithm,curbside
0,28.715232849121094,77.2060546875,28.57415771484375,77.19537353515625,fastest,21682.791553816423,44.0,35144.0,1546336.0,0.0,0.0,-1.0,80.0,0.07,astarbi,false
1,28.715232849121094,77.2060546875,28.57415771484375,77.19537353515625,greenest,21938.820553816422,45.0,39157.0,1762065.0,0.0,0.0,-1.0,80.0,0.07,astarbi,false
2,28.715232849121094,77.2060546875,28.57415771484375,77.19537353515625,balanced,21682.791553816423,44.0,35144.0,1546336.0,0.0,0.0,-1.0,80.0,0.07,astarbi,false
3,28.715232849121094,77.2060546875,28.57415771484375,77.19537353515625,shortest,19343.61639500978,57.0,25661.0,1462677.0,0.0,0.0,-1.0,80.0,0.07,astarbi,false
4,28.669578552246094,77.09595489501953,28.675825119018555,77.32151794433594,fastest,25652.781671712382,54.0,32124.0,1734696.0,0.0,0.0,-1.0,80.0,0.07,astarbi,false
5,28.669578552246094,77.09595489501953,28.675825119018555,77.32151794433594,greenest,25653.14467171238,54.0,32513.0,1755702.0,0.0,0.0,-1.0,80.0,0.07,astarbi,false
6,28.669578552246094,77.09595489501953,28.675825119018555,77.32151794433594,balanced,25652.781671712382,54.0,32124.0,1734696.0,0.0,0.0,-1.0,80.0,0.07,astarbi,false
7,28.669578552246094,77.09595489501953,28.675825119018555,77.32151794433594,shortest,24055.413671712377,83.0,28305.0,2349315.0,0.0,0.0,-1.0,80.0,0.07,astarbi,false
8,28.652149200439453,77.30143737792969,28.641115188598633,77.3125,fastest,3859.323495758251,8.0,6607.0,52856.0,0.0,0.0,-1.0,80.0,0.07,astarbi,false
9,28.652149200439453,77.30143737792969,28.641115188598633,77.3125,greenest,3859.3234957582513,8.0,6607.0,52856.0,0.0,0.0,-1.0,80.0,0.07,astarbi,false
10,28.652149200439453,77.30143737792969,28.641115188598633,77.3125,balanced,3859.3234957582513,8.0,6607.0,52856.0,0.0,0.0,-1.0,80.0,0.07,astarbi,false
11,28.652149200439453,77.30143737792969,28.641115188598633,77.3125,shortest,3693.860495758251,9.0,5528.0,49752.0,0.0,0.0,-1.0,80.0,0.07,astarbi,false
12,28.716209411621094,77.11707305908203,28.546642303466797,77.30081176757812,fastest,36303.909073598734,65.0,58855.0,3825575.0,0.0,0.0,-1.0,80.0,0.07,astarbi,false
13,28.716209411621094,77.11707305908203,28.546642303466797,77.30081176757812,greenest,36303.909073598734,65.0,58855.0,3825575.0,0.0,0.0,-1.0,80.0,0.07,astarbi,false
14,28.716209411621094,77.11707305908203,28.546642303466797,77.30081176757812,balanced,36303.909073598734,65.0,58855.0,3825575.0,0.0,0.0,-1.0,80.0,0.07,astarbi,false
15,28.716209411621094,77.11707305908203,28.546642303466797,77.30081176757812,shortest,30460.170073598747,100.0,45304.0,4530400.0,0.0,0.0,-1.0,80.0,0.07,astarbi,false
