sno,origin_lat,origin_lon,destination_lat,destination_lon,routing,distance,time,concentration,exposure,default_smoke,default_time,u_turn_costs,time_factor,pollution_factor,algorithm,curbside
0,28.715232849121094,77.2060546875,28.57415771484375,77.19537353515625,fastest,20615.439395009773,30.0,19099.0,572970.0,10.0,0.0,-1.0,100.0,0.07,astarbi,false
1,28.715232849121094,77.2060546875,28.57415771484375,77.19537353515625,greenest,19870.339395009785,32.0,21812.0,697984.0,10.0,0.0,-1.0,100.0,0.07,astarbi,false
2,28.715232849121094,77.2060546875,28.57415771484375,77.19537353515625,balanced,19870.339395009785,32.0,21812.0,697984.0,10.0,0.0,-1.0,100.0,0.07,astarbi,false
3,28.715232849121094,77.2060546875,28.57415771484375,77.19537353515625,shortest,19343.61639500978,35.0,18841.0,659435.0,10.0,0.0,-1.0,100.0,0.07,astarbi,false
4,28.669578552246094,77.09595489501953,28.675825119018555,77.32151794433594,fastest,24757.248671712394,38.0,18840.0,715920.0,10.0,0.0,-1.0,100.0,0.07,astarbi,false
5,28.669578552246094,77.09595489501953,28.675825119018555,77.32151794433594,greenest,24094.31267171238,45.0,18528.0,833760.0,10.0,0.0,-1.0,100.0,0.07,astarbi,false
6,28.669578552246094,77.09595489501953,28.675825119018555,77.32151794433594,balanced,24094.31267171238,45.0,18528.0,833760.0,10.0,0.0,-1.0,100.0,0.07,astarbi,false
7,28.669578552246094,77.09595489501953,28.675825119018555,77.32151794433594,shortest,24055.413671712377,47.0,17384.0,817048.0,10.0,0.0,-1.0,100.0,0.07,astarbi,false
8,28.652149200439453,77.30143737792969,28.641115188598633,77.3125,fastest,3693.860495758251,6.0,3595.0,21570.0,10.0,0.0,-1.0,100.0,0.07,astarbi,false
9,28.652149200439453,77.30143737792969,28.641115188598633,77.3125,greenest,3950.671495758252,6.0,3767.0,22602.0,10.0,0.0,-1.0,100.0,0.07,astarbi,false
10,28.652149200439453,77.30143737792969,28.641115188598633,77.3125,balanced,3950.671495758252,6.0,3767.0,22602.0,10.0,0.0,-1.0,100.0,0.07,astarbi,false
11,28.652149200439453,77.30143737792969,28.641115188598633,77.3125,shortest,3693.860495758251,6.0,3595.0,21570.0,10.0,0.0,-1.0,100.0,0.07,astarbi,false
12,28.716209411621094,77.11707305908203,28.546642303466797,77.30081176757812,fastest,35199.05907359873,48.0,30724.0,1474752.0,10.0,0.0,-1.0,100.0,0.07,astarbi,false
13,28.716209411621094,77.11707305908203,28.546642303466797,77.30081176757812,greenest,31992.573253899187,54.0,29492.0,1592568.0,10.0,0.0,-1.0,100.0,0.07,astarbi,false
14,28.716209411621094,77.11707305908203,28.546642303466797,77.30081176757812,balanced,32014.17425389919,56.0,29081.0,1628536.0,10.0,0.0,-1.0,100.0,0.07,astarbi,false
15,28.716209411621094,77.11707305908203,28.546642303466797,77.30081176757812,shortest,30460.170073598747,55.0,31766.0,1747130.0,10.0,0.0,-1.0,100.0,0.07,astarbi,false
